FID,area,perimeter,distance
27367,7734.195116,346.457939,1782.915979
27368,20074.06917,776.3963326,3232.096116
27402,343035.138,9691.246946,318.082596
27674,11806176.47,29667.58332,2089.803953
27871,61681.42998,1474.416858,13959.02339
27872,68020.22819,1370.371372,12481.83567
27873,12553.97962,571.2982535,14689.41584
27921,2465.262917,207.8219608,42561.30116
27929,248738.4342,3393.740376,91.55357447
27966,148715.2206,2222.626427,5897.903017
27972,17624.53552,557.7000418,74.99790926
27973,18733.20408,571.082,318.5771697
27976,1394.772657,150.638534,209.0469824
27977,1503.070107,151.2233789,128.9627384
27978,1135.288048,141.5280623,155.8101923
27979,2948.458377,218.0252645,241.8723285
27980,15318.49877,617.465385,100.4131506
28239,15791.28131,500.6954887,4201.536621
28240,18684987.63,24707.73946,3785.377185
28241,10531.1207,682.588718,4682.845387
28242,20026.40864,582.1817617,1258.49184
28243,75985.28571,1187.489814,4323.823067
28244,52129.79958,1358.827412,42.1118635
28402,106616.9831,1994.378545,1023.282462
28403,155719.4059,2453.670775,773.5093927
28404,81613.34868,1701.552873,75.23846635
28405,18507248.03,36544.56844,16475.39353
28516,652601.0531,3045.978077,258.7891278
28522,16567.76134,1392.670973,86.73656236
28524,19238.17127,768.1660801,194.1301037
28525,13809.63372,561.35471,81.60265771
28526,45226.16473,949.4316952,218.8268969
28527,273568.675,3884.648733,391.3529867
28528,13213.48829,583.7328564,76.19809728
28529,30187.584,836.3729025,51.00534772
28530,583241.2887,4402.633996,483.1324934
28531,48321.09038,1311.987589,285.4586635
28549,306100.8608,2310.368245,572.6676596
28551,78800.55349,1254.658021,238.3730061
28552,68251.41958,1047.819484,17168.32211
28553,93704.64698,1498.647273,1324.735946
28554,40327595.42,56025.7089,7382.531054
28555,540651.4433,3805.463174,581.7191891
28556,859002.4876,5534.345154,3366.94083
28557,59977.22524,1158.844989,3454.931257
28558,737916.5673,5540.404457,21489.50078
28559,59946.2358,1024.614494,746.4473955
28560,9703894.23,21936.48079,2452.910144
28561,42644.93397,999.2412153,2873.749498
28562,208653.3871,1962.090207,4330.837801
28563,29384.6603,675.2942714,6.172238983
28564,39092.09642,822.1537388,214.6790992
28565,97718.53696,1421.356612,23921.28636
28566,122020.1774,1377.255794,12065.07751
28567,603608.0041,4432.668279,17125.05657
28568,254062.1346,2748.908843,2003.402968
28569,1487764.8,6247.8824,4362.066281
28570,17849.55524,572.8699346,18906.40151
28571,23827.41894,683.5853025,17389.93209
28572,4464863.522,19607.04163,14624.95687
28573,320546.5202,2923.536352,15132.83997
28574,331763.7704,2359.751012,14539.5943
28575,24394.98584,667.68085,27927.45934
28576,69590.88709,1126.185169,12313.65704
28577,183945.5599,1678.669837,27145.7821
28578,1889.868662,172.3025438,101.8539156
28579,1063427.3,5152.167916,19575.44071
28580,2081624.504,8484.327704,2422.065076
28581,1589947.982,9004.33863,1835.174675
28582,124364.2568,1411.057603,2886.075567
28583,171563.9054,2185.455693,689.805649
28584,2647998.654,8730.772562,2624.016044
28585,2246.541869,207.4512122,13521.14897
28586,24099.37402,647.6563054,2598.484108
28587,63350.59311,1097.08679,18333.80297
28588,349884.1968,2511.74329,9519.74882
28589,39867.27005,1088.022046,2637.90246
28590,18450.77997,562.1335713,435.3758027
28591,369815.5351,3340.828203,13484.67569
28592,18016.5101,639.4453958,17967.35111
28621,386671.7733,3607.024857,241.0432164
28627,10665.07045,512.5614176,31.30831224
28665,6506.610396,375.2563978,493.6537913
28706,23010.42463,711.9805173,7006.932382
28707,8244.996525,369.4312656,14218.52919
28734,22046526.3,54058.51488,282.7841241
28735,80204.86376,1960.385807,984.1533316
28736,242552.989,2105.522325,111.1892595
28739,1361278.965,5894.312949,669.3177469
28740,180478850.2,94119.25321,21032.47925
28741,87896.83446,1828.735777,20350.72558
28750,13648.82081,503.3708689,397.7311534
28756,96702.71433,2515.253466,342.3743458
28767,111450.0705,1444.20295,80.96105809
28773,23789.71292,750.4927784,12.27008287
28774,31455.23362,727.7726388,30.92777569
28775,249926.6872,1892.516322,61.60929148
28831,8452.05161,440.1717185,21.69250983
28832,5400.52084,308.1063377,131.528745
28833,19118.59443,1497.558832,12375.92577
30051,54003247.17,39375.49648,115.8115721
30054,11378.40869,556.1178451,399.5573037
30120,19278.85744,620.5816617,145.7210336
30121,44169.17376,1496.792879,5095.620683
30177,951540.0257,8140.90732,133.8066934
30249,13509.90946,576.5550228,636.1247431
30250,51190.9211,1148.924817,2596.131938
30251,22389.67669,746.6744167,3916.712777
30253,196042.828,1968.273918,130.7177202
30261,5989.556094,400.5883162,25350.64713
30262,3066.585943,261.7342256,25551.49849
30307,106860.8581,1583.29318,26288.47671
30308,208118.1948,1899.716212,25624.22841
30309,134762.6728,1896.978083,264.9841398
30310,23583.69535,764.2486827,22431.34597
30311,6584586.749,17884.40237,114.248463
30312,278876.7603,2076.678792,858.3566839
30313,27327.23399,642.2726691,1737.444231
30314,8576.048249,341.6006401,838.1589344
30315,7619.329226,333.3336875,862.2933822
30316,1820.141154,165.835836,1432.425672
30322,6922.979337,327.4913996,2099.122563
30323,5299.682684,292.5109609,1945.011754
30324,22302.80392,613.6635019,904.8988372
30456,24092.71603,653.2929298,6103.251715
30457,181952.4831,1792.50583,13074.79033
30458,70793.54182,1055.515702,16098.28993
30459,14094.4836,618.2830411,14395.69273
30463,8874.268207,343.9178513,20177.64035
30464,8185.11532,393.1888165,17958.61901
30465,3241.735614,281.5331852,20581.15865
31183,25974.68634,836.0147028,28866.39614
33909,825.8732197,114.9520406,5613.188997
34050,7683117.544,16128.11772,55.15864996
34181,138021.2322,2707.619293,477.1698468
34182,73028.35914,1467.536584,206.7877616
34194,127960.2027,2839.710894,44.29747774
34195,97353.60719,2189.783536,43.49047167
34196,118780.5603,2698.680525,40.9319811
34197,110959.4464,2411.93106,259.4000539
40757,345702.2985,3133.73737,1122.691118
40769,213099.2751,2997.007105,21030.58788
40770,197646.3165,1966.592186,22526.56682
40771,270412.5472,2642.806122,18990.41078
40772,586624.2026,6598.443669,14211.22181
40773,3308.854534,230.1032317,156.7618841
40774,36957.99302,1436.95642,1277.090704
40775,6288.502516,358.7301013,160.422086
46188,810.738966,114.0076596,89.8436775
46189,117572.9103,1812.905358,727.6441473
46190,7726.198374,374.2341254,50.53028001
46191,39094038.43,43246.73922,28104.86143
46192,9812.257648,499.391974,26.19194312
46193,3689.663186,309.6939537,27.89450816
46194,178530.0868,2050.26298,1955.267602
46195,3250.019836,228.0553309,141.7163383
46196,2964.915604,212.7488974,35.35931656
46198,18520.65751,722.3203795,113.2337056
46199,2991.288543,237.049,324.2210121
53329,541680.1474,7228.024537,7209.844763
53330,413057.1009,6034.279613,32401.69355
53365,145708.1553,1704.713343,23623.44892
53366,8159.580799,505.6002701,32176.74306
53367,41292.02618,920.2546461,39425.89888
53368,80820.4932,1327.664001,23463.40895
53369,442578.7354,3530.263753,14662.19244
53370,435890.7621,7499.413483,182.8713773
53371,31114.01747,743.1690177,90080.77979
53372,31925.20694,964.7654108,88635.38477
53373,438615.2216,3980.085496,32293.87321
53374,13644.65466,744.1870929,36221.60026
53375,44749.45482,1305.121742,86.83758592
53376,16272.77355,578.40938,147.746471
53377,18491.42445,626.9626626,117.984606
53378,33768.21285,1414.231336,140.70639
53379,229676.1788,2972.427722,68.45096343
53380,1472833.559,5376.782916,179.4418291
