,Family,Genus,Species,Introduced..y.n.,Body.mass_Mean..g.,Total.body.Length_Mean..mm.,SVL_Mean..mm.,Longevity..days.,Limbs,Sociality,Sexual.maturity..days..,Gestation.length..days.,Litter.clutch.size,Litters.clutches.per.year,Weaning.age..days..,Plant..0.1.,Terrestrial.vertebrate..0.1.,Fish..0.1.,Invertebrate..0.1.,Carrion..0.1.,trophic_level,brain_mass_g,DigitsWebbed,DigitsClaws,DigitsFlippers,DigitsHooves,LocoAquatic,LocoArboreal,LocoFossorial,LocoGliding,LocoCursorial,LocoSaltation,LocoTerrestrial,day_active,night_active,crepuscular_active,niche_aerial,niche_arboreal,niche_ground,niche_marine,niche_scansorial
1,Pteropodidae,Acerodon,humilis,N,352.43,229.4133441,282.1752971,5627.010091,4,Gregarious,679.5725465,114.2072211,1.082064133,1.152905802,140.5395787,1,0,0,0,0,1.093957937,24.95101446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,Acrobatidae,Acrobates,frontalis,N,19,173,85,3464.175153,4,Solitary,381.0143473,23.01694387,1.849013756,1.540420242,102.4000801,1,0,0,1,0,1.933172222,1.898310771,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
3,Acrobatidae,Acrobates,pygmaeus,N,13,158,76.5,3212,4,Gregarious,272.11,25.12510992,3,2,99,1,0,0,1,0,2,0.874,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
4,Potoroidae,Aepyprymnus,rufescens,N,2820,723,379,4675.042,4,Solitary,345.41,22.9,1.015,3,162.535,1,0,0,0,0,1,12.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,Dasyuridae,Antechinomys,laniger,N,25.8,215,110,1277.5,4,Solitary,393.87,12,6,1.5,90.62,0,0,0,1,0,3,0.487,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
6,Dasyuridae,Antechinus,adustus,N,30.5,213,115,730,4,Solitary,289.18,28,6,1,130,0,0,0,1,0,3,0.905,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0
7,Dasyuridae,Antechinus,agilis,N,26.25,187,98,1974.042,4,Solitary,374.16,27.575,7.5,1,90,0,0,0,1,0,2,0.58,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
8,Dasyuridae,Antechinus,argentus,N,52,198,99,1529.789979,4,Solitary,356.2412915,28.37954666,8,1,90,0,0,0,1,0,2.83055,0.823576822,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
9,Dasyuridae,Antechinus,arktos,N,81,250,132,1616.175319,4,Solitary,369.0369117,27.66979902,6,1.064297159,112.8109001,0,0,0,1,0,2.787365079,1.546458875,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
10,Dasyuridae,Antechinus,bellus,N,36.365,248,114.62,1244.042,4,Solitary,396.83,30,10.08,1,96,0,0,0,1,0,3,0.653,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
11,Dasyuridae,Antechinus,flavipes,N,44.665,221,114.62,1423.5,4,Solitary,334.58,30,10,1,92.5,1,1,0,1,0,3,0.663,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0
12,Dasyuridae,Antechinus,godmani,N,75.74,263,139,730,4,Solitary,374.16,30,6,1,125.84,0,1,0,1,0,3,2.109,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0
13,Dasyuridae,Antechinus,leo,N,70.09,184,150,730,4,Solitary,396.83,30.99,9.095,1,100,0,0,0,1,0,3,0.777,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
14,Dasyuridae,Antechinus,mimetes,N,65,140,132,1587.407329,4,Solitary,360.2963403,30,10,1,90,0,0,0,1,0,2.877926984,1.230908406,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0
15,Dasyuridae,Antechinus,minimus,N,52.56,200,120,730,4,Solitary,361.77,29.27,7.19,1,90,0,0,0,1,0,3,0.767,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
